Fecha de Scraping,Título,Descripción
2024-06-23 16:06:43,"Apartamento en Arriendo, LOMA DE SAN JULIAN, Medellín",$26.500.000 | 850 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CASTROPOL, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO, Bogotá D.C.",$5.500.000 | 382 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, BELLA SUIZA, Bogotá D.C.",$5.500.000 | 382 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, QUINTA PAREDES, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, CEDRO BOLIVAR, Bogotá D.C.",$7.800.000 | 220 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA MARIA DEL LAGO, Bogotá D.C.",$7.800.000 | 220 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO LA CABRERA, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO RESERVADO, Bogotá D.C.",$3.700.000 | 223 m² | 5 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, Acqua, Chía",$3.700.000 | 223 m² | 5 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO RESERVADO, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$21.000.000 | 500 m² | 3 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$21.000.000 | 500 m² | 3 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, LA FLORESTA, Bogotá D.C.",$20.000.000 | 432 m² | 3 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, USAQUEN, Bogotá D.C.",$20.000.000 | 432 m² | 3 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO NORTE, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, La Carolina, Bogotá D.C.",$12.000.000 | 287 m² | 3 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, PARQUE VIRREY, Bogotá D.C.",$12.000.000 | 287 m² | 3 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA BARBARA ALTA, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO CASTROPOL, Medellín",$11.000.000 | 250 m² | 3 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$11.000.000 | 250 m² | 3 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL NOGAL, Bogotá D.C.",$27.000.000 | 600 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CASTROPOL, Medellín",$27.000.000 | 600 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CASTROPOL, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, ALEJANDRIA, Medellín",$13.000.000 | 430 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, Rosales, Bogotá D.C.",$13.000.000 | 430 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA BARBARA ALTA, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$10.300.000 | 220 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA BARBARA UNICENTRO, Bogot…",$10.300.000 | 220 m² | 3 | 4
